country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,,,1.36,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,7.8,24.8,20.9,17.3,11.6,11.4,13.8,15.8,16.4,14.9,14.2,13.6,12.9,12.4,12.1,11.8,15.7,12.5,12.1,12.7,13.3,14.8,17.8,,17.1,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,21.3,22.5,,,,,,25.3,,,29.8,,,23.4,17.5,,,,,8.57,8.11,,9.56,8.3,8.96,9.92,8.18,9.78
Angola,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.5,14.8,,,,,,,,,,,,,,,,,,21.3,,,,,,,7,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,15.5,14.8,14.4,17,,,,,,,,,,,,,,,,,,,,,,,,,8.04,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,4.38,3.86,3.38,,,4.5,5.3,7,7.13,,6.14,8.5,10.3,16.5,15.7,12.9,11.7,13.3,14.1,17.4,20.1,13.7,11.8,10,8.36,,6.47,7.76,,,,,,,,7.51
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,3.5,4.9,3.8,4.7,5.5,5.6,7.6,,,,,,,,,,17.8,17,,16.5,14.4,,,,18.2
Australia,,,,,,,,,,,,,,,,,,,,5.16,5.07,4.81,6.35,9.72,8.69,7.94,7.67,7.76,6.77,5.71,6.74,9.89,11.3,11.5,9.98,8.74,8.71,8.58,7.94,7.04,6.46,6.98,6.53,5.89,5.28,4.88,4.67,4.04,3.96,5.69,5.07,4.89,5.14,5.71,6,6.04,5.65,5.53
Austria,,,,,,,,,,2,1.6,0.9,0.7,0.6,0.8,1.5,1.6,1.4,1.7,1.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,4.98,4.55,4.93,5.37,5.83,6.09,6.43,5.91
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.13,0.37,0.46,0.6,0.7,0.83,0.93,,,,,,,,,,,,,,,,,4.09,4.2,4.1
Bahamas,,,,,,,,,,,,,,5.16,,16.7,,15.8,,8.44,,,,,,,9.59,,8.2,10.9,7.68,12.2,13.8,12.4,12.6,9.99,8.6,8.29,5.75,6.03,,6.71,,9.99,,9.26,7.03,6.72,7.18,14.4,,13.7,14.1,16.1,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,5.19,,,,,,,,,,4.12,,,5.6,,,,,,0.44,,0.47,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.58,0.76,,,0.97,,2.25,,,,,2.71,,,,3.24,,,4.17,,3.35,2.66,,,4.2,2.95,,,3.15,,,3.09,3.31
