order,speed,mpg
1,50,34.9
2,50,36.5
3,50,42.5
4,50,43.2
5,50,39.8
6,50,42.2
7,50,78.9
8,50,82.8
9,50,25.9
10,50,36.7
11,50,26.1
12,50,37.6
13,50,32.1
14,50,31.1
15,50,31.9
16,50,38
17,50,36.5
18,50,30.3
19,50,39.6
20,50,45.6
21,50,50.6
22,50,58.1
23,50,95.2
1,55,63.9
2,55,30
3,55,26.9
4,55,29.4
5,55,30.1
6,55,34.2
7,55,36.9
8,55,39.7
9,55,34.4
10,55,28.4
11,55,33.9
12,55,33.8
13,55,40.7
14,55,50.1
15,55,48.9
16,55,54.3
17,55,59.8
18,55,61.5
19,55,62.6
20,55,87.9
21,55,72.9
22,55,89.7
1,60,29.9
2,60,32.2
3,60,28.4
4,60,29.5
5,60,29.1
6,60,27.3
7,60,28
8,60,26.9
9,60,28.3
10,60,27
11,60,32.2
12,60,31.6
13,60,32.9
14,60,31.8
15,60,29.5
16,60,28.7
17,60,30.2
18,60,28.3
19,60,30.5
20,60,29.8
21,60,34
22,60,24.7
23,60,31.1
24,60,27
25,60,28.9
26,60,32.8
27,60,31.8
1,65,39.4
2,65,38.6
3,65,36.9
4,65,35.5
5,65,36.3
6,65,37.6
7,65,31.5
8,65,28.7
9,65,29.6
10,65,30.3
11,65,30.1
12,65,32
13,65,31.4
14,65,36
15,65,37.5
16,65,38.9
17,65,39.2
18,65,38.7
1,70,60
2,70,45.7
3,70,35.5
4,70,38.4
5,70,38.1
6,70,33.7
7,70,35.5
8,70,41.4
9,70,34.9
10,70,41.3
11,70,38.8
12,70,37.3
13,70,35.6
14,70,33.8
1,75,22.6
2,75,22
3,75,28.3
4,75,26.2
5,75,27.1
6,75,25.1
7,75,26.9
8,75,29.1
9,75,30.2
10,75,30.7
11,75,34.4
12,75,35.2
13,75,49.7
14,75,46.4
15,75,50.9
16,75,59.8
17,75,65.6
18,75,90.8
19,75,81.7
20,75,66.7
21,75,50.6
1,80,33.6
2,80,35.6
3,80,35.6
4,80,33.1
5,80,32.8
6,80,29.4
7,80,27.9
8,80,29.2
9,80,22.8
10,80,19
11,80,19.1
12,80,24.1
13,80,27.1
14,80,26.6
15,80,33.1
16,80,35.6
17,80,42.1
18,80,50.4
19,80,60.5
20,80,28.3
21,80,25.6
1,85,24.5
2,85,20.9
3,85,19
4,85,17.7
5,85,11.4
6,85,15.8
7,85,29.8
8,85,24.2
9,85,23.3
10,85,22.5
11,85,19.1
12,85,18.8
13,85,17
14,85,17.3
15,85,20.5
16,85,27.6
17,85,23.5
18,85,24.5
19,85,22.5
20,85,23.8
21,85,23
22,85,22.5
23,85,21.4
24,85,21.4
25,85,22.3
26,85,23
